scientificName,count,category
Megaptera novaeangliae,398452,Cetacea
Phocoena phocoena,279037,Cetacea
Balaenoptera acutorostrata,253568,Cetacea
Balaenoptera physalus,207832,Cetacea
Tursiops truncatus,128053,Cetacea
Delphinus delphis,93224,Cetacea
Mesoplodon densirostris,51909,Cetacea
Physeter macrocephalus,51774,Cetacea
Delphinidae,29142,Cetacea
Eschrichtius robustus,23729,Cetacea
Mirounga leonina,1004968,Phocidae
Leptonychotes weddellii,341491,Phocidae
Halichoerus grypus,234351,Phocidae
Lobodon carcinophagus,107210,Phocidae
Phoca vitulina,87206,Phocidae
Phoca largha,25056,Phocidae
Pusa hispida,12353,Phocidae
Histriophoca fasciata,10853,Phocidae
Erignathus barbatus,10716,Phocidae
Pusa hispida botnica,6575,Phocidae
Chelonia mydas,205674,Cheloniidae
Caretta caretta,153357,Cheloniidae
Cheloniidae,11574,Cheloniidae
Eretmochelys imbricata,11043,Cheloniidae
Lepidochelys olivacea,10926,Cheloniidae
Lepidochelys kempii,4510,Cheloniidae
Natator depressus,2100,Cheloniidae
Eretmochelys imbricata bissa,51,Cheloniidae
Chelonia,23,Cheloniidae
